Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Aalfs Janet,1956,American,"Martial artist, poet",L,F,AD,"Aalfs, JanetJanet Aalfs"
 Aarons Leroy F,1933-2004,American,Journalist,G,M,AD,"Aarons, Leroy F.Leroy F. Aarons"
 Abbema Louise,1853-1927,French,"Painter, designer",L,F,AD,"Abbéma, LouiseLouise Abbéma"
 Abbott Berenice,1898-1991,American,Photographer,L,F,AD,"Abbott, BereniceBerenice Abbott"
 Aboud Paula,1950,American,"Politician, activist",L,F,AD,"Aboud, PaulaPaula Aboud"
 Abunda Boy,1955,Filipino,Journalist,G,M,AD,"Abunda, BoyBoy Abunda"
 Achmat Zackie,1962,South African,LGBT and AIDS activist,G,M,AD,"Achmat, ZackieZackie Achmat"
 Achtenberg Roberta,1950,American,Politician,L,F,AD,"Achtenberg, RobertaRoberta Achtenberg"
 Acito Marc,1966,American,Author,G,M,AD,"Acito, MarcMarc Acito"
 Acker Jean,1893-1978,American,"Actress, wife of actor Rudolph Valentino",L,F,AD,"Acker, JeanJean Acker"
 Acker Kathy,1949-1997,American,"Writer, feminist",B,F,AD,"Acker, KathyKathy Acker"
 Ackerley J R,1896-1967,British,"Writer, arts editor of The Listener",G,M,AD,"Ackerley, J. R.J. R. Ackerley"
 Ackroyd Peter,1949,British,Author,G,M,AD,"Ackroyd, PeterPeter Ackroyd"
 Acton Harold,1904-1994,British,"Art writer, aesthete",G,M,AD,"Acton, HaroldHarold Acton"
 Adam Margie,1947,American,Women's Music performer,L,F,AD,"Adam, MargieMargie Adam"
 Adamik Katarzyna,1972,Polish,Film director,L,F,AD,"Adamik, KatarzynaKatarzyna Adamik"
 Adamo Mark,1962,American,Classical music composer,G,M,AD,"Adamo, MarkMark Adamo"
 Adams J C,1970,American,Gay porn journalist,B,M,AD,"Adams, J. C.J. C. Adams"
 Adams John Bodkin,1899-1983,British,"Doctor, suspected serial killer",G,M,AD,"Adams, John BodkinJohn Bodkin Adams"
 Adams Nicola,1982,British,Olympic boxer,B,F,AD,"Adams, NicolaNicola Adams"
 Adams Sam,1963,American,"First openly gay Portland, Oregon City Council member, first openly gay mayor of a major US city (Portland)",G,M,AD,"Adams, SamSam Adams"
 Adams Tracey,1959,American,Porn performer,L,F,AD,"Adams, TraceyTracey Adams"
 Addams Jane,1860-1935,American,"Social reformer, Nobel prize winner",L,F,AD,"Addams, JaneJane Addams"
 Adegbalola Gaye,1944,American,Blues musician,B,F,AD,"Adegbalola, GayeGaye Adegbalola"
 Ades Thomas,1971,British,Composer,G,M,AD,"Adès, ThomasThomas Adès"
 Adler Allison,1967,American,"Television writer, producer",L,F,AD,"Adler, AllisonAllison Adler"
 Agbabi Patience,1965,British,"Poet, performer",B,F,AD,"Agbabi, PatiencePatience Agbabi"
 Aghion Gabriel,1955,French,"Film director, screenwriter",G,M,AD,"Aghion, GabrielGabriel Aghion"
 Agolley Faustina,1984,Australian,Television presenter,L,F,AD,"Agolley, FaustinaFaustina Agolley"
 Agostino Dominic,1959-2004,Canadian,Politician,G,M,AD,"Agostino, DominicDominic Agostino"
 Aguirre Sacasa Roberto,1971,American,"Playwright, writer for Marvel Comics",G,M,AD,"Aguirre-Sacasa, RobertoRoberto Aguirre-Sacasa"
 Emperor Ai of Han,27-Jan,Chinese (Han Dynasty),Head of state,G,M,BC,Ai !Emperor Ai of Han
 Aiken Clay,1978,American,"Singer, songwriter, American Idol runner-up",G,M,AD,"Aiken, ClayClay Aiken"
 Ailey Alvin,1931-1989,American,"Dancer, choreographer",G,M,AD,"Ailey, AlvinAlvin Ailey"
 Aillagon Jean Jacques,1946,French,Politician,G,M,AD,"Aillagon, Jean-JacquesJean-Jacques Aillagon"
 Airey Dawn,1960,British,Television executive,L,F,AD,"Airey, DawnDawn Airey"
 Aitken Will,,Canadian,Writer,G,M,AD,"Aitken, WillWill Aitken"
 Akerman Chantal,1950-2015,Belgian,Filmmaker,L,F,AD,"Akerman, ChantalChantal Akerman"
 Al Solaylee Kamal,1964,Canadian,"Journalist, writer",G,M,AD,"Al-Solaylee, KamalKamal Al-Solaylee"
 Alam Faisal,1977,American,LGBT Muslim rights activist,G,M,AD,"Alam, FaisalFaisal Alam"
 Alber Matt,1978,American,"Singer, songwriter",G,M,AD,"Alber, MattMatt Alber"
 Albee Edward,1928,American,Playwright,G,M,AD,"Albee, EdwardEdward Albee"
 Alcorn John,,Canadian,Jazz musician,G,M,AD,"Alcorn, JohnJohn Alcorn"
 Aldridge Sarah,1911-2006,American,Author,L,F,AD,"Aldridge, SarahSarah Aldridge"
 Aleramo Sibilla,1876-1960,Italian,Writer,L,F,AD,"Aleramo, SibillaSibilla Aleramo"
 Alexander the Great,356-323,Greek,King and conqueror,B,M,BC,Alexander !Alexander the Great
 Alig Michael,1966,American,"Party promoter, murderer",G,M,AD,"Alig, MichaelMichael Alig"
 Napier Sturt 3rd Baron Alington,1896-1940,British,Peer,B,M,AD,"Alington !Napier Sturt, 3rd Baron Alington"
 Alland Sandra,1973,Canadian,"Writer, artist, activist",L,F,AD,"Alland, SandraSandra Alland"
 Allan Maud,1873-1956,Canadian,Dancer,L,F,AD,"Allan, MaudMaud Allan"
 Allegret Marc,1900-1973,French,Film director,B,M,AD,"Allegret, MarcMarc Allégret"
 Allen Chad,1974,American,"Actor, gay activist",G,M,AD,"Allen, ChadChad Allen"
 Allen Paula Gunn,1939,American,Writer,L,F,AD,"Allen, Paula GunnPaula Gunn Allen"
 Allen Peter,1944-1992,Australian,Entertainer,G,M,AD,"Allen, PeterPeter Allen"
 Allen Ted,1965,American,Food and wine connoisseur,G,M,AD,"Allen, TedTed Allen"
 Allers Christian Wilhelm,1857-1915,German,Painter,G,M,AD,"Allers, Christian WilhelmChristian Wilhelm Allers"
 Alley Henry,1944,American,"Author, academic",G,M,AD,"Alley, HenryHenry Alley"
 Alli Waheed Baron,1964,British,"Businessman, first openly gay peer in Parliament",G,M,AD,"Alli, Waheed Alli, BaronWaheed Alli, Baron Alli"
 Allison Dorothy,1949,American,Writer,L,F,AD,"Allison, DorothyDorothy Allison"
 Allman Eric,1955,American,Computer programmer,G,M,AD,"Allman, EricEric Allman"
 Almasy Laszlo,1895-1951,Hungarian,"Explorer, spy",G,M,AD,"Almasy, LaszloLászló Almásy"
 Almodovar Pedro,1949,Spanish,Filmmaker,G,M,AD,"Almodóvar, PedroPedro Almodóvar"
 Almond Marc,1957,British,Rock musician,G,M,AD,"Almond, MarcMarc Almond"
 Alonzo Anne Marie,1951-2005,Canadian,Writer,L,F,AD,"Alonzo, Anne-MarieAnne-Marie Alonzo"
 Alsop Joseph,1910-1989,American,Journalist,G,M,AD,"Alsop, JosephJoseph Alsop"
 Althans Bela Ewald,1966,German,Neo-Nazi activist,G,M,AD,"Althans, Bela EwaldBela Ewald Althans"
 Altman Dennis,1943,Australian,"Academic, LGBT rights activist",G,M,AD,"Altman, DennisDennis Altman"
 Luisa Isabel aarez de Toledo 21st Duchess of Medina Sidonia,1936-2008,Spanish,21st Duchess of Medina Sidonia,L,F,AD,"Alvarez, Luisa !Luisa Isabel Álvarez de Toledo, 21st Duchess of Medina Sidonia"
 Amaechi John,1970,British,"Basketball player, broadcaster",G,M,AD,"Amaechi, JohnJohn Amaechi"
 Amedure Scott,1963-1995,American,"""Jenny Jones Murder"" victim",G,M,AD,"Amedure, ScottScott Amedure"
