Name,Lifetime,Nationality,Notable.as,Orientation,Sex,Era,Name.old,Partners,Link
 Aalfs Janet,1956,American,"Martial artist, poet",L,F,AD,"Aalfs, JanetJanet Aalfs",NA,https://en.wikipedia.org/wiki/Janet_Aalfs
 Aarons Leroy F,1933-2004,American,Journalist,G,M,AD,"Aarons, Leroy F.Leroy F. Aarons",NA,0
 Abbema Louise,1853-1927,French,"Painter, designer",L,F,AD,"Abbéma, LouiseLouise Abbéma",NA,https://en.wikipedia.org/wiki/Louise_Abbema
 Abbott Berenice,1898-1991,American,Photographer,L,F,AD,"Abbott, BereniceBerenice Abbott",NA,https://en.wikipedia.org/wiki/Berenice_Abbott
 Aboud Paula,1950,American,"Politician, activist",L,F,AD,"Aboud, PaulaPaula Aboud",NA,https://en.wikipedia.org/wiki/Paula_Aboud
 Abunda Boy,1955,Filipino,Journalist,G,M,AD,"Abunda, BoyBoy Abunda",NA,https://en.wikipedia.org/wiki/Boy_Abunda
 Achmat Zackie,1962,South African,LGBT and AIDS activist,G,M,AD,"Achmat, ZackieZackie Achmat",NA,https://en.wikipedia.org/wiki/Zackie_Achmat
 Achtenberg Roberta,1950,American,Politician,L,F,AD,"Achtenberg, RobertaRoberta Achtenberg",NA,https://en.wikipedia.org/wiki/Roberta_Achtenberg
 Acito Marc,1966,American,Author,G,M,AD,"Acito, MarcMarc Acito",NA,https://en.wikipedia.org/wiki/Marc_Acito
 Acker Jean,1893-1978,American,"Actress, wife of actor Rudolph Valentino",L,F,AD,"Acker, JeanJean Acker",NA,https://en.wikipedia.org/wiki/Jean_Acker
 Acker Kathy,1949-1997,American,"Writer, feminist",B,F,AD,"Acker, KathyKathy Acker",NA,https://en.wikipedia.org/wiki/Kathy_Acker
 Ackerley J R,1896-1967,British,"Writer, arts editor of The Listener",G,M,AD,"Ackerley, J. R.J. R. Ackerley",NA,https://en.wikipedia.org/wiki/J_R_Ackerley
 Ackroyd Peter,1949,British,Author,G,M,AD,"Ackroyd, PeterPeter Ackroyd",NA,https://en.wikipedia.org/wiki/Peter_Ackroyd
 Acton Harold,1904-1994,British,"Art writer, aesthete",G,M,AD,"Acton, HaroldHarold Acton",NA,https://en.wikipedia.org/wiki/Harold_Acton
 Adam Margie,1947,American,Women's Music performer,L,F,AD,"Adam, MargieMargie Adam",NA,https://en.wikipedia.org/wiki/Margie_Adam
 Adamik Katarzyna,1972,Polish,Film director,L,F,AD,"Adamik, KatarzynaKatarzyna Adamik",NA,https://en.wikipedia.org/wiki/Katarzyna_Adamik
 Adamo Mark,1962,American,Classical music composer,G,M,AD,"Adamo, MarkMark Adamo",NA,https://en.wikipedia.org/wiki/Mark_Adamo
 Adams J C,1970,American,Gay porn journalist,B,M,AD,"Adams, J. C.J. C. Adams",NA,https://en.wikipedia.org/wiki/J_C_Adams
 Adams John Bodkin,1899-1983,British,"Doctor, suspected serial killer",G,M,AD,"Adams, John BodkinJohn Bodkin Adams",NA,https://en.wikipedia.org/wiki/John_Bodkin_Adams
 Adams Nicola,1982,British,Olympic boxer,B,F,AD,"Adams, NicolaNicola Adams",NA,https://en.wikipedia.org/wiki/Nicola_Adams
 Adams Sam,1963,American,"First openly gay Portland, Oregon City Council member, first openly gay mayor of a major US city (Portland)",G,M,AD,"Adams, SamSam Adams",NA,https://en.wikipedia.org/wiki/Sam_Adams
 Adams Tracey,1959,American,Porn performer,L,F,AD,"Adams, TraceyTracey Adams",NA,https://en.wikipedia.org/wiki/Tracey_Adams
 Addams Jane,1860-1935,American,"Social reformer, Nobel prize winner",L,F,AD,"Addams, JaneJane Addams",NA,https://en.wikipedia.org/wiki/Jane_Addams
 Adegbalola Gaye,1944,American,Blues musician,B,F,AD,"Adegbalola, GayeGaye Adegbalola",NA,https://en.wikipedia.org/wiki/Gaye_Adegbalola
 Ades Thomas,1971,British,Composer,G,M,AD,"Adès, ThomasThomas Adès",NA,https://en.wikipedia.org/wiki/Thomas_Ades
 Adler Allison,1967,American,"Television writer, producer",L,F,AD,"Adler, AllisonAllison Adler",NA,https://en.wikipedia.org/wiki/Allison_Adler
 Agbabi Patience,1965,British,"Poet, performer",B,F,AD,"Agbabi, PatiencePatience Agbabi",NA,https://en.wikipedia.org/wiki/Patience_Agbabi
 Aghion Gabriel,1955,French,"Film director, screenwriter",G,M,AD,"Aghion, GabrielGabriel Aghion",NA,https://en.wikipedia.org/wiki/Gabriel_Aghion
 Agolley Faustina,1984,Australian,Television presenter,L,F,AD,"Agolley, FaustinaFaustina Agolley",NA,https://en.wikipedia.org/wiki/Faustina_Agolley
 Agostino Dominic,1959-2004,Canadian,Politician,G,M,AD,"Agostino, DominicDominic Agostino",NA,https://en.wikipedia.org/wiki/Dominic_Agostino
 Aguirre Sacasa Roberto,1971,American,"Playwright, writer for Marvel Comics",G,M,AD,"Aguirre-Sacasa, RobertoRoberto Aguirre-Sacasa",NA,0
 Emperor Ai of Han,27-Jan,Chinese (Han Dynasty),Head of state,G,M,BC,Ai !Emperor Ai of Han,NA,0
 Aiken Clay,1978,American,"Singer, songwriter, American Idol runner-up",G,M,AD,"Aiken, ClayClay Aiken",NA,https://en.wikipedia.org/wiki/Clay_Aiken
 Ailey Alvin,1931-1989,American,"Dancer, choreographer",G,M,AD,"Ailey, AlvinAlvin Ailey",NA,https://en.wikipedia.org/wiki/Alvin_Ailey
 Aillagon Jean Jacques,1946,French,Politician,G,M,AD,"Aillagon, Jean-JacquesJean-Jacques Aillagon",NA,0
 Airey Dawn,1960,British,Television executive,L,F,AD,"Airey, DawnDawn Airey",NA,https://en.wikipedia.org/wiki/Dawn_Airey
 Aitken Will,,Canadian,Writer,G,M,AD,"Aitken, WillWill Aitken",NA,https://en.wikipedia.org/wiki/Will_Aitken
 Akerman Chantal,1950-2015,Belgian,Filmmaker,L,F,AD,"Akerman, ChantalChantal Akerman",NA,https://en.wikipedia.org/wiki/Chantal_Akerman
 Al Solaylee Kamal,1964,Canadian,"Journalist, writer",G,M,AD,"Al-Solaylee, KamalKamal Al-Solaylee",NA,0
 Alam Faisal,1977,American,LGBT Muslim rights activist,G,M,AD,"Alam, FaisalFaisal Alam",NA,https://en.wikipedia.org/wiki/Faisal_Alam
 Alber Matt,1978,American,"Singer, songwriter",G,M,AD,"Alber, MattMatt Alber",NA,https://en.wikipedia.org/wiki/Matt_Alber
 Albee Edward,1928,American,Playwright,G,M,AD,"Albee, EdwardEdward Albee",NA,https://en.wikipedia.org/wiki/Edward_Albee
 Alcorn John,,Canadian,Jazz musician,G,M,AD,"Alcorn, JohnJohn Alcorn",NA,https://en.wikipedia.org/wiki/John_Alcorn
 Aldridge Sarah,1911-2006,American,Author,L,F,AD,"Aldridge, SarahSarah Aldridge",NA,https://en.wikipedia.org/wiki/Sarah_Aldridge
 Aleramo Sibilla,1876-1960,Italian,Writer,L,F,AD,"Aleramo, SibillaSibilla Aleramo",NA,https://en.wikipedia.org/wiki/Sibilla_Aleramo
 Alexander the Great,356-323,Greek,King and conqueror,B,M,BC,Alexander !Alexander the Great,NA,https://en.wikipedia.org/wiki/Alexander_the_Great
 Alig Michael,1966,American,"Party promoter, murderer",G,M,AD,"Alig, MichaelMichael Alig",NA,https://en.wikipedia.org/wiki/Michael_Alig
 Napier Sturt 3rd Baron Alington,1896-1940,British,Peer,B,M,AD,"Alington !Napier Sturt, 3rd Baron Alington",NA,0
 Alland Sandra,1973,Canadian,"Writer, artist, activist",L,F,AD,"Alland, SandraSandra Alland",NA,https://en.wikipedia.org/wiki/Sandra_Alland
 Allan Maud,1873-1956,Canadian,Dancer,L,F,AD,"Allan, MaudMaud Allan",NA,https://en.wikipedia.org/wiki/Maud_Allan
 Allegret Marc,1900-1973,French,Film director,B,M,AD,"Allegret, MarcMarc Allégret",NA,https://en.wikipedia.org/wiki/Marc_Allegret
