"Name","Lifetime","Nationality","Notable.as","Orientation","Sex","Era","Name.old","Partners","Link"
" Aalfs Janet","1956","American","Martial artist, poet","L","F","AD","Aalfs, JanetJanet Aalfs","0","https://en.wikipedia.org/wiki/Janet_Aalfs"
" Aarons Leroy F","1933-2004","American","Journalist","G","M","AD","Aarons, Leroy F.Leroy F. Aarons","0","0"
" Abbema Louise","1853-1927","French","Painter, designer","L","F","AD","Abb√©ma, LouiseLouise Abb√©ma","0","https://en.wikipedia.org/wiki/Louise_Abbema"
" Abbott Berenice","1898-1991","American","Photographer","L","F","AD","Abbott, BereniceBerenice Abbott","0","https://en.wikipedia.org/wiki/Berenice_Abbott"
" Aboud Paula","1950","American","Politician, activist","L","F","AD","Aboud, PaulaPaula Aboud","0","https://en.wikipedia.org/wiki/Paula_Aboud"
" Abunda Boy","1955","Filipino","Journalist","G","M","AD","Abunda, BoyBoy Abunda","Bong Quintana (1983ñpresent)","https://en.wikipedia.org/wiki/Boy_Abunda"
" Achmat Zackie","1962","South African","LGBT and AIDS activist","G","M","AD","Achmat, ZackieZackie Achmat","Dalli Weyers (m. 2008; d. 2011)","https://en.wikipedia.org/wiki/Zackie_Achmat"
" Achtenberg Roberta","1950","American","Politician","L","F","AD","Achtenberg, RobertaRoberta Achtenberg","0","https://en.wikipedia.org/wiki/Roberta_Achtenberg"
" Acito Marc","1966","American","Author","G","M","AD","Acito, MarcMarc Acito","Floyd Sklaver","https://en.wikipedia.org/wiki/Marc_Acito"
" Acker Jean","1893-1978","American","Actress, wife of actor Rudolph Valentino","L","F","AD","Acker, JeanJean Acker","Rudolph Valentino(m.1919-1923; divorced)","https://en.wikipedia.org/wiki/Jean_Acker"
" Acker Kathy","1949-1997","American","Writer, feminist","B","F","AD","Acker, KathyKathy Acker","Robert Acker (1966ñ????)Peter Gordon (1976, annulled)","https://en.wikipedia.org/wiki/Kathy_Acker"
" Ackerley J R","1896-1967","British","Writer, arts editor of The Listener","G","M","AD","Ackerley, J. R.J. R. Ackerley","0","https://en.wikipedia.org/wiki/J_R_Ackerley"
" Ackroyd Peter","1949","British","Author","G","M","AD","Ackroyd, PeterPeter Ackroyd","Brian Kuhn (1980sñ1994, Kuhn's death)","https://en.wikipedia.org/wiki/Peter_Ackroyd"
" Acton Harold","1904-1994","British","Art writer, aesthete","G","M","AD","Acton, HaroldHarold Acton","0","https://en.wikipedia.org/wiki/Harold_Acton"
" Adam Margie","1947","American","Women's Music performer","L","F","AD","Adam, MargieMargie Adam","0","https://en.wikipedia.org/wiki/Margie_Adam"
" Adamik Katarzyna","1972","Polish","Film director","L","F","AD","Adamik, KatarzynaKatarzyna Adamik","0","https://en.wikipedia.org/wiki/Katarzyna_Adamik"
" Adamo Mark","1962","American","Classical music composer","G","M","AD","Adamo, MarkMark Adamo","0","https://en.wikipedia.org/wiki/Mark_Adamo"
" Adams J C","1970","American","Gay porn journalist","B","M","AD","Adams, J. C.J. C. Adams","0","https://en.wikipedia.org/wiki/J_C_Adams"
" Adams John Bodkin","1899-1983","British","Doctor, suspected serial killer","G","M","AD","Adams, John BodkinJohn Bodkin Adams","0","https://en.wikipedia.org/wiki/John_Bodkin_Adams"
" Adams Nicola","1982","British","Olympic boxer","B","F","AD","Adams, NicolaNicola Adams","0","https://en.wikipedia.org/wiki/Nicola_Adams"
" Adams Sam","1963","American","First openly gay Portland, Oregon City Council member, first openly gay mayor of a major US city (Portland)","G","M","AD","Adams, SamSam Adams","Elizabeth Checkley
Elizabeth Wells","https://en.wikipedia.org/wiki/Sam_Adams"
" Adams Tracey","1959","American","Porn performer","L","F","AD","Adams, TraceyTracey Adams","0","https://en.wikipedia.org/wiki/Tracey_Adams"
" Addams Jane","1860-1935","American","Social reformer, Nobel prize winner","L","F","AD","Addams, JaneJane Addams","0","https://en.wikipedia.org/wiki/Jane_Addams"
